Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Officials of insurance companies,0,762,11,,12,67,2,,6,34,4,,,4,23,1,32,85,4,3,17,32,,,1,91,142,,59,,72,22,2,2,3,7,9,7,4,4
Officials of railroad companies,0,1902,25,,42,35,8,21,14,105,38,46,23,30,54,37,103,100,98,44,16,38,12,1,12,84,381,18,109,8,215,11,18,33,1,,90,,13,19
Officials of street railroad companies,0,88,,,6,2,,,4,2,2,,,9,2,1,2,16,7,,,3,,,,7,5,,8,,5,,2,2,1,,,,1,1
Officials of telegraph companies,0,72,1,1,3,1,,1,2,8,,,,4,,,1,6,1,1,,,3,,,4,6,,8,,10,,,1,1,2,1,,2,4
Packers,0,1421,1,,61,71,,11,2,21,26,13,,19,13,,105,144,37,1,,30,,,,33,398,,95,3,223,18,3,1,14,,16,7,19,36
Pawnbrokers,0,384,,,43,2,,,1,39,5,1,3,1,2,1,5,27,17,1,,29,3,1,,1,105,,27,,41,,,,4,,3,,1,21
Peddlers,0,16975,36,7,623,494,10,3,83,1101,470,288,72,257,222,378,183,1459,634,68,42,510,32,84,128,431,5510,40,1465,25,1330,202,5,125,35,223,19,33,303,45
Pilots,0,3649,80,36,48,57,29,72,77,117,159,18,6,211,248,34,65,140,9,99,12,364,2,,5,143,599,115,249,24,287,5,,52,48,2,47,63,108,19
Porters in stores and warehouses,0,16631,192,187,671,186,10,28,335,504,154,122,83,587,581,49,701,1007,220,38,104,1479,33,37,30,246,5532,61,761,19,1133,64,184,234,92,30,471,37,88,341
Sailors,0,56663,155,17,2531,2402,583,611,93,1829,26,20,16,10,683,11670,3947,10454,2209,32,116,95,4,5,170,2588,8785,429,1438,75,1477,594,404,12,195,38,1183,5,1142,620
Salesmen and saleswomen,9,14203,31,12,374,35,67,1,35,330,65,67,13,219,44,152,611,1676,96,30,8,1083,10,1,20,530,2090,2,381,2,5772,86,3,77,6,22,129,12,87,15
Shippers and freighters,0,3567,62,,184,59,,26,55,60,61,58,9,28,211,62,65,215,67,35,51,105,26,11,6,123,636,,55,31,335,39,76,32,74,12,226,9,44,419
Steamboat men and women,0,7975,102,143,434,92,24,69,91,581,337,184,10,427,833,50,107,107,35,56,132,1001,3,,,176,456,97,1020,58,165,81,27,492,118,8,76,55,258,70
Stewards and stewardesses,0,1245,15,24,37,1,8,14,15,38,61,34,4,56,74,5,33,15,40,1,7,127,4,8,4,25,194,3,153,32,116,15,2,19,,3,40,3,2,13
Toll-gate and bridge keepers,0,2253,7,3,114,19,13,3,18,91,208,3,9,228,16,16,61,36,71,4,,15,,33,7,149,280,4,298,19,287,4,1,86,15,6,57,,34,38
Traders and dealers (not specified),0,100406,1979,1273,3517,1623,358,316,1444,6172,2336,1940,828,2335,2517,1544,3392,6590,2761,1034,2049,4757,474,396,784,3268,15974,1574,3995,356,10101,637,1277,2106,2960,1083,2355,718,2205,1378
Traders and dealers in agricultural implements,6,1939,,,1,11,,,1,286,56,277,39,11,1,4,13,20,100,71,,54,11,,,13,63,1,30,,732,3,,4,15,5,19,3,82,7
Traders and dealers in books and stationery,0,3392,12,4,141,73,2,14,31,288,101,81,39,66,56,61,84,322,154,45,11,123,15,7,37,167,581,18,213,10,245,27,21,38,49,19,46,4,65,122
