Civil Divisions,All ages Total,All ages Male,All ages Female,5 to 18 Male,5 to 18 Female,18 to 45  Male,21 and upward Male,State,County
Springfield,12652,6357,6295,1742,1891,2852,3414,Ohio,Clark
Batavia ,3334,1643,1691,496,532,598,803,Ohio,Clermont
Franklin ,3298,1641,1657,534,508,601,788,Ohio,Clermont
Miami ,3491,1750,1741,581,524,651,843,Ohio,Clermont
Ohio ,3381,1626,1755,547,586,551,784,Ohio,Clermont
Union ,4227,2100,2127,626,647,847,1081,Ohio,Clinton
Perry ,4388,2107,2281,594,631,884,1112,Ohio,Columbiana
Salem ,3700,1771,1929,490,522,758,945,Ohio,Columbiana
Salem ,3199,1621,1587,486,486,623,772,Ohio,Columbiana
Yellow Creek ,3088,1490,1598,440,450,568,757,Ohio,Columbiana
Bucyrus ,4184,2068,2116,469,718,772,993,Ohio,Crawford
Bucyrus ,3066,1498,1568,467,504,557,736,Ohio,Crawford
Jackson ,4021,2016,2005,647,666,747,941,Ohio,Crawford
Polk ,4369,2215,2154,699,695,859,1076,Ohio,Crawford
Galion ,3523,1790,1733,553,547,712,886,Ohio,Crawford
Brooklyn ,3712,1890,1822,541,557,706,984,Ohio,Cuyahoga
Cleveland ,92829,46770,46059,12955,13603,20501,24438,Ohio,Cuyahoga
East Cleveland ,5050,2486,2564,695,749,951,1293,Ohio,Cuyahoga
Middleburg ,3662,1911,1751,570,555,728,953,Ohio,Cuyahoga
Newburgh ,6227,3229,2998,911,838,1341,1675,Ohio,Cuyahoga
Greenville ,5688,2893,2795,933,912,1070,1379,Ohio,Darke
Defiance ,3615,1818,1797,572,553,690,831,Ohio,Defiance
Delaware ,6861,3381,3480,1026,1063,1407,1694,Ohio,Delaware
Delaware ,5641,2760,2881,817,857,1176,1401,Ohio,Delaware
Sandusky ,13000,6536,6464,2094,2170,2256,3084,Ohio,Erie
Berne ,3056,1565,1491,554,496,505,669,Ohio,Fairfield
Lancaster ,4725,2239,2486,661,717,905,1160,Ohio,Fairfield
Liberty ,3000,1536,1464,506,460,568,709,Ohio,Fairfield
Union ,4471,2292,2179,700,689,957,1137,Ohio,Fayette
Columbus ,31274,15763,15511,4477,4704,7073,8293,Ohio,Franklin
Madison ,3440,1770,1670,557,537,722,820,Ohio,Franklin
Clinton ,3235,1630,1605,514,507,658,799,Ohio,Fulton
Gallipolis ,3711,1831,1880,567,553,767,911,Ohio,Gallia
Xenia,6377,3015,3362,1027,1081,1103,1494,Ohio,Greene
Cambridge ,3624,1765,1859,597,592,599,806,Ohio,Guernsey
Cincinnati ,216239,106445,109794,31665,32813,44315,53814,Ohio,Hamilton
Colerain ,3689,1876,1813,665,671,562,868,Ohio,Hamilton
Columbia ,3184,1603,1581,495,507,571,770,Ohio,Hamilton
Green ,4356,2217,2139,789,728,700,1013,Ohio,Hamilton
Mill Creek ,3291,1624,1667,453,471,688,930,Ohio,Hamilton
Springfield ,6548,3195,3353,964,1031,1088,1680,Ohio,Hamilton
Sycaniore ,5460,2672,2788,822,950,955,1324,Ohio,Hamilton
Findlay ,4073,1971,2102,641,646,758,973,Ohio,Hancock
Findlay ,3315,1596,1719,507,521,628,799,Ohio,Hancock
Pleasant,4002,2035,1967,657,656,806,971,Ohio,Hardin
Cadiz,3063,1474,1589,415,427,573,735,Ohio,Harrison
Napoleon,3334,1725,1609,520,519,677,843,Ohio,Henry
Liberty ,5189,2532,2657,875,873,904,1196,Ohio,Highland
Madison ,3261,1581,1680,511,671,563,758,Ohio,Highland
Falls ,3760,1871,1889,618,654,704,843,Ohio,Hocking
Norwalk ,5752,2833,2919,837,792,1075,1476,Ohio,Huron
Norwalk ,4498,2190,2308,653,625,845,1127,Ohio,Huron
Jefferson ,3002,1565,1437,409,476,593,703,Ohio,Jackson
Lick ,3746,1921,1825,589,580,761,885,Ohio,Jackson
Steubenville,8107,3772,4335,1119,1297,1516,1899,Ohio,Jefferson
Mount Vernon,4876,2347,2529,586,672,1090,1309,Ohio,Knox
Painesville ,4995,2328,2667,615,747,917,1282,Ohio,Lake
Painesville ,3728,1710,2018,462,566,681,933,Ohio,Lake
Elizabeth ,3357,1759,1598,656,584,576,711,Ohio,Lawrence
Ironton ,5689,2857,2829,942,971,1242,1338,Ohio,Lawrence
Newark ,6698,3170,3528,889,1045,1349,1668,Ohio,Licking
Lake ,3753,1840,1913,596,604,700,894,Ohio,Logan
Bellefontaine ,3182,1549,1633,492,522,615,763,Ohio,Logan
Elyria ,4076,1990,2086,592,618,800,1067,Ohio,Lorain
Elyria ,3038,1459,1579,410,448,611,802,Ohio,Lorain
Russia ,4207,2029,2178,572,611,875,1062,Ohio,Lorain
Toledo ,31584,15918,15666,4465,4778,7241,8349,Ohio,Lucas
Union ,3109,1502,1607,450,524,581,745,Ohio,Madison
Youngstown ,8075,4055,4020,1092,1224,1815,2020,Ohio,Mahoning
Marion ,3486,1754,1732,549,552,687,807,Ohio,Marion
Pomeroy ,5824,2968,2856,1025,1003,1042,1265,Ohio,Meigs
Salisbury ,4902,2436,2466,809,847,801,1126,Ohio,Meigs
Sutton ,4369,2210,2159,787,773,783,948,Ohio,Meigs
Concord ,4701,2299,2402,743,743,886,1130,Ohio,Miami
Troy ,3005,1448,1557,442,400,568,754,Ohio,Miami
Newberry ,3565,1746,1819,578,599,622,814,Ohio,Miami
Piqua ,5967,2951,3016,869,888,1130,1484,Ohio,Miami
Union ,3291,1651,1640,592,558,564,713,Ohio,Miami
Dayton ,30473,15038,15435,4531,4688,6175,7547,Ohio,Montgomery
German ,3197,1613,1584,491,472,628,814,Ohio,Montgomery
Jefferson ,3350,2239,1111,363,348,1206,1630,Ohio,Montgomery
Miami,4418,2290,2128,726,687,821,1037,Ohio,Montgomery
Falls ,3361,1651,1710,649,508,572,767,Ohio,Muskingum
Springfield ,4022,1875,2147,636,618,661,899,Ohio,Muskingum
Zanesville ,10011,4794,5217,1500,1623,1810,2343,Ohio,Muskingum
Reading ,3334,1557,1777,524,563,518,735,Ohio,Perry
Circleville,5407,2593,2814,752,852,1046,1331,Ohio,Pickaway
Franklin ,3037,1553,1484,381,397,702,886,Ohio,Portage
Ravenna ,3423,1629,1794,404,477,696,956,Ohio,Portage
Washington ,3414,1672,1742,512,546,646,842,Ohio,Preble
Mansfield,8029,4033,3996,1052,1194,1859,2200,Ohio,Richland
Chillicothe,8920,4276,4644,1359,1443,1647,2120,Ohio,Ross
Fremont ,5455,2692,2763,876,910,1047,1343,Ohio,Sandusky
Green Creek ,3666,1799,1867,538,597,692,929,Ohio,Sandusky
Portsmouth,10592,5272,5320,1604,1674,2252,2601,Ohio,Scioto
Loudon ,3133,1592,1541,525,491,596,722,Ohio,Seneca
Tiffin ,5648,2676,2972,800,945,977,1299,Ohio,Seneca
Clinton ,3591,1731,1860,655,623,640,831,Ohio,Shelby
Canton ,8660,4376,4284,1139,1181,1974,2264,Ohio,Stark
Lawrence ,3366,1719,1647,542,534,665,811,Ohio,Stark
Lexington ,5700,2879,2821,830,847,1229,1421,Ohio,Stark
Alliance ,4063,2027,2036,561,602,884,1117,Ohio,Stark
Massillon ,5185,2613,2572,751,763,1085,1311,Ohio,Stark
Akron ,10006,5070,4936,1220,1332,2444,2819,Ohio,Summit
Hubbard ,4588,2454,2134,734,706,970,1151,Ohio,Trumbull
Warren ,3457,1704,1753,466,428,706,876,Ohio,Trumbull
Weathersfield ,5184,2738,2446,757,765,1167,1377,Ohio,Trumbull
Dover ,3515,1739,1776,580,594,609,799,Ohio,Tuscarawas
Goshen ,4650,2303,2347,735,760,858,1098,Ohio,Tuscarawas
New Philadelphia ,3143,1541,1602,487,510,587,730,Ohio,Tuscarawas
Mill ,3436,1802,1634,456,480,884,932,Ohio,Tuscarawas
Pleasant ,3683,1834,1849,591,623,717,879,Ohio,Van Wert
Franklin ,3012,1493,1519,440,482,572,750,Ohio,Warren
Turtle Creek ,5650,2843,2807,779,824,1217,1519,Ohio,Warren
Marietta ,5218,2547,2671,781,800,973,1220,Ohio,Washington
Wooster ,5419,2653,2766,767,770,1113,1385,Ohio,Wayne
Pulaski ,3547,1819,1728,573,524,730,911,Ohio,Williams
Perrysburg ,4100,2106,1994,686,653,727,966,Ohio,Wood
Crane ,3876,1922,1954,623,642,730,872,Ohio,Wyandot
Portland,8293,4920,3373,1077,1041,2781,3080,Oregon,Multnomah
Gettsburgh (borough),3074,1554,1520,406,469,646,746,Pennsylvania,Adams
Allegheny,53180,26151,27029,7833,8164,10743,12799,Pennsylvania,Allegheny
Baldwin,3104,1649,1455,515,471,629,772,Pennsylvania,Allegheny
Lower St. Clair,5322,2765,2557,916,871,960,1182,Pennsylvania,Allegheny
Birmingham (borough),8603,4439,4164,1375,1371,1876,2101,Pennsylvania,Allegheny
East Birmingham (borough),9488,4884,4604,1482,1456,2029,2263,Pennsylvania,Allegheny
South Pittsburgh (borough),3095,1583,1512,453,502,709,797,Pennsylvania,Allegheny
McClure,3816,1996,1820,656,564,799,911,Pennsylvania,Allegheny
Mifflin,5058,2634,2424,824,838,996,1215,Pennsylvania,Allegheny
Pittsburgh,86076,43722,42354,12510,12744,19356,22398,Pennsylvania,Allegheny
Wilkins,3455,1747,1708,550,542,644,831,Pennsylvania,Allegheny
Brady's Bend,3619,1927,1692,662,580,693,832,Pennsylvania,Armstrong
Perry,4078,2388,1690,506,468,1373,1379,Pennsylvania,Armstrong
Beaver Falls (borough),3112,1600,1512,459,443,703,802,Pennsylvania,Beaver
New Brighton (borough),4037,1982,2055,680,592,716,865,Pennsylvania,Beaver
Reading,33930,16525,17405,4921,5173,6532,8163,Pennsylvania,Berks
Altoona,10610,5271,5339,1531,1666,2275,2609,Pennsylvania,Blair
Bristol (borough),3269,1525,1744,445,494,569,816,Pennsylvania,Bucks
Rockhill,3363,1702,1661,519,492,575,858,Pennsylvania,Bucks
Johnstown (borough),6028,3011,3017,943,927,1134,1367,Pennsylvania,Cambria
Banks,3982,2125,1857,671,700,857,1035,Pennsylvania,Carbon
Mauch Chunk,5210,2737,2473,868,852,1090,1318,Pennsylvania,Carbon
Mauch Chunk (borough),3841,1962,1879,508,551,905,1048,Pennsylvania,Carbon
Phoenixville (borough),5292,2719,2573,793,810,1080,1365,Pennsylvania,Chester
Westchester (borough),5630,2417,3213,655,787,961,1330,Pennsylvania,Chester
Lockhaven,6986,3528,3458,969,1050,1613,1878,Pennsylvania,Clinton
Bloomsburg (borough),3341,1652,1689,530,530,635,774,Pennsylvania,Columbia
Meadville ,7103,3448,3655,916,979,1596,1832,Pennsylvania,Crawford
Titusville ,8639,4713,3926,1028,1095,2735,2816,Pennsylvania,Crawford
Carlisle (borough),6650,3030,3620,872,992,1213,1569,Pennsylvania,Cumberland
South Middleton,3226,1596,1630,495,510,623,747,Pennsylvania,Cumberland
Harrisburg,23104,11103,12001,3100,3376,4918,5824,Pennsylvania,Dauphin
Chester,9485,4660,4825,1446,1365,1885,2304,Pennsylvania,Delaware
Upper Darby,3130,1503,1627,492,511,571,740,Pennsylvania,Delaware
Corry,6809,3492,3317,861,976,1685,1937,Pennsylvania,Erie
Erie,19646,9886,9760,2899,2936,4052,5021,Pennsylvania,Erie
Antrim,3762,1933,1829,623,583,674,879,Pennsylvania,Franklin
Greene,3357,1650,1707,560,493,584,756,Pennsylvania,Franklin
Guilford,3097,1544,1553,489,436,529,743,Pennsylvania,Franklin
Chambersburg (borough),6308,2915,3393,856,933,1096,1485,Pennsylvania,Franklin
Montgomery ,3611,1764,1847,567,541,607,775,Pennsylvania,Franklin
Quincy ,3127,1568,1559,515,502,533,723,Pennsylvania,Franklin
Huntingdon (borough),3034,1455,1579,438,435,587,725,Pennsylvania,Huntingdon
Columbia,6461,3131,3330,908,991,1290,1555,Pennsylvania,Lancaster
Drumore,3001,1500,1561,487,501,492,704,Pennsylvania,Lancaster
East Donegal ,3254,1638,1616,504,496,580,765,Pennsylvania,Lancaster
Lancaster,20233,9538,10695,3069,3182,3488,4642,Pennsylvania,Lancaster
Manor ,4371,2164,2207,675,683,895,1015,Pennsylvania,Lancaster
Rapho ,3483,1734,1749,538,510,618,841,Pennsylvania,Lancaster
Salisbury ,3710,1821,1889,590,645,636,865,Pennsylvania,Lancaster
Warwick ,3345,1597,1748,524,574,546,761,Pennsylvania,Lancaster
West Hempfield,3688,1877,1811,591,572,668,906,Pennsylvania,Lancaster
New Castle (borough),6164,3037,3127,972,986,1134,1422,Pennsylvania,Lawrence
Jackson ,3437,1673,1764,508,496,622,831,Pennsylvania,Lebanon
Lebanon (borough),6727,3235,3492,985,1012,1292,1614,Pennsylvania,Lebanon
Allentown ,13884,6926,6958,2009,2035,2978,3590,Pennsylvania,Lehigh
Lower Macungie ,3662,1922,1740,597,550,746,941,Pennsylvania,Lehigh
North Whitehall ,4170,2144,2026,676,686,795,1000,Pennsylvania,Lehigh
Upper Macungie ,3061,1612,1449,510,477,597,768,Pennsylvania,Lehigh
Upper Sancon ,3487,1822,1605,484,474,720,963,Pennsylvania,Lehigh
Whitehall ,3318,1749,1569,574,519,681,815,Pennsylvania,Lehigh
Dunmore (borough),4311,2262,2049,684,696,866,1062,Pennsylvania,Luzerne
Carbondale ,6393,3228,3165,1012,992,1274,1567,Pennsylvania,Luzerne
Hanover ,3035,1691,1344,490,434,759,815,Pennsylvania,Luzerne
Hazel ,7110,3902,3208,1212,1109,1582,1795,Pennsylvania,Luzerne
Hazelton (borough),4317,2201,2116,679,665,937,1019,Pennsylvania,Luzerne
Lackawanna ,5153,2805,2348,850,825,1150,1333,Pennsylvania,Luzerne
Pittston ,4447,2296,2151,758,782,898,1040,Pennsylvania,Luzerne
Pittston (borough),6760,3571,3189,1073,1071,1460,1711,Pennsylvania,Luzerne
Plains ,4018,2256,1762,623,541,1007,1141,Pennsylvania,Luzerne
Plymouth ,4669,2605,2064,755,667,1143,1257,Pennsylvania,Luzerne
Scranton ,35092,18478,16614,5125,5050,8339,9455,Pennsylvania,Luzerne
Wilkesbarre ,7090,3911,3179,1086,980,1747,1954,Pennsylvania,Luzerne
Wilkesbarre (borough),10174,5185,4989,1383,1488,2458,2769,Pennsylvania,Luzerne
Williamsport ,16030,8120,7910,2076,2208,3845,4306,Pennsylvania,Lycoming
Hickory ,7700,4093,3607,1197,1122,1764,1981,Pennsylvania,Mercer
Sharon (borough),4221,2210,2011,571,603,1087,1189,Pennsylvania,Mercer
Lower Merion ,4886,2497,2389,708,638,1065,1348,Pennsylvania,Montgomery
Norristown (borough),10753,4950,5803,1507,1543,1844,2551,Pennsylvania,Montgomery
Conshohocken (borough),3071,1578,1493,497,475,651,755,Pennsylvania,Montgomery
Pottstown(borough),4125,2080,2045,552,542,924,1079,Pennsylvania,Montgomery
Upper Merion,3870,1901,1969,591,656,705,925,Pennsylvania,Montgomery
Upper Providence ,3202,1577,1625,473,472,549,814,Pennsylvania,Montgomery
White Marsh ,3151,1589,1562,458,439,644,845,Pennsylvania,Montgomery
Danville (borough),8436,4280,4156,1272,1286,1734,2109,Pennsylvania,Montour
Bethlehem (borough),4512,2049,2463,554,712,889,1125,Pennsylvania,Northampton
South Bethlehem (borough),3556,1877,1679,534,495,792,927,Pennsylvania,Northampton
Easton (borough),10987,5325,5662,1598,1618,2191,2669,Pennsylvania,Northampton
Lehigh,3496,1814,1682,633,573,659,825,Pennsylvania,Northampton
Lower Mount Bethel,3641,1856,1785,569,558,677,899,Pennsylvania,Northampton
Lower Sancon,4991,2594,2397,807,725,930,1251,Pennsylvania,Northampton
Upper Mount Bethel,3764,1898,1866,565,612,721,994,Pennsylvania,Northampton
South Easton (borough),3167,1600,1567,512,499,609,750,Pennsylvania,Northampton
Shamokin (borough),4320,2244,2076,645,645,1028,1100,Pennsylvania,Northumberland
Sunbury (borough),3131,1546,1585,431,437,686,803,Pennsylvania,Northumberland
Philadelphia,674022,320379,353643,89388,93433,138526,173676,Pennsylvania,Philadelphia
Butler,5905,3095,2810,1055,930,1050,1302,Pennsylvania,Schuylkill
Ashland (borough),5714,2923,2791,988,977,1068,1251,Pennsylvania,Schuylkill
Cass ,4621,2335,2286,877,875,748,977,Pennsylvania,Schuylkill
Mahanoy ,9400,5154,4246,1714,1487,2081,2355,Pennsylvania,Schuylkill
Mahanoy (borough),5533,3028,2505,955,833,1262,1384,Pennsylvania,Schuylkill
Minersville (borough),3699,1824,1875,573,618,688,865,Pennsylvania,Schuylkill
Pottsville (borough),12384,5881,6503,1829,2015,2313,2851,Pennsylvania,Schuylkill
Tamaqua (borough),5960,2988,2972,962,997,1144,1367,Pennsylvania,Schuylkill
Bloss,4008,2147,1861,609,619,945,1051,Pennsylvania,Tioga
Lewisburg (borough),3121,1448,1673,407,458,566,733,Pennsylvania,Union
Cornplanter,10100,5563,4537,1116,1157,3211,3323,Pennsylvania,Venango
Franklin (borough),3908,1920,1988,524,578,820,960,Pennsylvania,Venango
Oil Creek,5098,3128,1970,486,478,2047,2095,Pennsylvania,Venango
Carroll,3178,1638,1540,488,514,678,784,Pennsylvania,Washington
Washington (borough),3571,1630,1941,524,601,597,764,Pennsylvania,Washington
Texas,4449,2241,2208,751,786,763,1020,Pennsylvania,Wayne
Derry,5170,2592,2578,897,825,754,1139,Pennsylvania,Westmoreland
Hempfield,5819,2927,2892,1032,957,946,1286,Pennsylvania,Westmoreland
North Huntington,3493,1803,1690,589,552,646,798,Pennsylvania,Westmoreland
Hopewell,3830,1884,1946,614,688,669,874,Pennsylvania,York
Spring Garden,3040,1532,1508,449,473,523,789,Pennsylvania,York
York,11003,5192,5811,1544,1623,1920,2669,Pennsylvania,York
Bristol,5302,2466,2836,619,655,1020,1436,Rhode Island,Bristol
Warren ,3008,1351,1654,397,417,472,757,Rhode Island,Bristol
Coventry ,4349,2052,2297,543,545,755,1156,Rhode Island,Kent
Warwick ,10453,5035,5418,1513,1513,1959,2648,Rhode Island,Kent
Newport ,12521,5764,6757,1496,1488,2463,3338,Rhode Island,Newport
Burrillville ,4674,2337,2337,687,680,909,1248,Rhode Island,Providence
Cranston ,4822,2678,2144,615,564,1257,1563,Rhode Island,Providence
Cumberland ,3822,1829,2053,481,499,739,1035,Rhode Island,Providence
Johnston,4192,2059,2133,555,555,824,1139,Rhode Island,Providence
Lincoln ,7889,3803,4086,1040,1111,1734,2074,Rhode Island,Providence
North Providence ,20495,9952,10543,2771,2809,4484,5303,Rhode Island,Providence
North Smithfield,3052,1502,1550,492,450,540,746,Rhode Island,Providence
Pawtucket ,6619,3179,3440,823,846,1365,1750,Rhode Island,Providence
Providence ,68904,32535,36369,8185,8272,14940,18828,Rhode Island,Providence
Scituate ,3846,1897,1949,521,493,674,1098,Rhode Island,Providence
Woonsocket ,11527,5434,6093,1637,1652,2196,2778,Rhode Island,Providence
North Kingstown ,3568,1746,1822,408,453,765,1039,Rhode Island,Washington
South Kingstown ,4493,2222,2271,640,646,822,1173,Rhode Island,Washington
Westerly ,4709,2353,2356,634,636,1029,1310,Rhode Island,Washington
Abbeville,3034,1421,1613,478,504,458,607,South Carolina,Abbeville
Beaufort,5511,2617,2894,712,709,943,1371,South Carolina,Beaufort
Hilton Head ,3073,1415,1658,405,460,513,743,South Carolina,Beaufort
St. Helena,6152,3116,3036,1075,953,1057,1393,South Carolina,Beaufort
Charleston,48956,22375,26581,6755,7488,9156,11553,South Carolina,Charleston
Christ Church,4493,2150,2343,670,763,665,978,South Carolina,Charleston
St. Andrew's,3277,1687,1590,386,358,695,961,South Carolina,Charleston
"St. James, Goose Creek",7795,4012,3783,1559,1161,1546,1880,South Carolina,Charleston
"St. John's, Berkley",7868,3809,4059,1150,1185,1353,1742,South Carolina,Charleston
"St. John's, Colleton",8604,4211,4393,1169,1147,1708,2303,South Carolina,Charleston
St. Stephen's,3094,1522,1572,525,524,537,641,South Carolina,Charleston
Baton Rouge,3098,1516,1582,568,521,491,603,South Carolina,Chester
St. George's Parish,3993,2004,1989,713,713,732,830,South Carolina,Colleton
St. Paul's Parish,4656,2343,2313,618,635,882,1210,South Carolina,Colleton
Verdiere,3176,1497,1679,533,503,488,644,South Carolina,Colleton
Gregg,3200,1430,1770,494,559,506,621,South Carolina,Edgefield
Georgetown,3520,1644,1876,513,568,626,784,South Carolina,Georgetown
Waccamaw,4310,2062,2248,681,652,733,970,South Carolina,Georgetown
Flat Rock,3755,1840,1915,713,683,513,674,South Carolina,Kershaw
Wateree,3657,1763,1894,631,606,550,722,South Carolina,Kershaw
Laurens,4289,2042,2247,734,727,677,847,South Carolina,Laurens
Pickensville,3164,1525,1639,582,528,481,581,South Carolina,Pickens
Columbia,9298,4577,4721,1198,1342,2140,2549,South Carolina,Richland
Beech Spring,3280,1528,1752,583,605,435,603,South Carolina,Spartanburg
Sumter,3659,1704,1955,534,609,611,753,South Carolina,Sumter
York,3200,1532,1668,547,551,486,617,South Carolina,York
Nashville,25865,12079,13786,3327,3915,5529,6374,Tennessee,Davidson
Chattanooga,6093,3070,3023,784,813,1527,1653,Tennessee,Hamilton
Knoxville,8682,4069,4613,1202,1403,1773,2033,Tennessee,Knox
Jackson,4119,2047,2072,584,635,950,1049,Tennessee,Madison
Clarksville,3200,1541,1659,442,477,657,823,Tennessee,Montgomery
Murfeesboro,3502,1655,1847,455,556,740,947,Tennessee,Rutherford
Memphis,40226,20189,20037,4767,5686,10997,11097,Tennessee,Shelby
San Antomia,12256,6056,6200,2174,2100,2134,2652,Texas,Bexar
Brownsville,4905,2475,2430,606,701,1249,1376,Texas,Cameron
Galveston,13818,7035,6783,1717,1994,3525,4071,Texas,Galveston
Houston,9382,4508,4874,1245,1426,1917,2419,Texas,Harris
Jefferson,4190,2213,1977,548,578,1132,1270,Texas,Marion
Waco,3008,1539,1469,446,489,696,806,Texas,Mc'Lennan
Austin,4428,2256,2172,662,699,988,1158,Texas,Travis
Salt Lake City,12854,6058,6796,2073,2260,1942,2564,Utah,Salt Lake
Ogden,3127,1655,1472,538,511,665,783,Utah,Weber
Middlebury,3086,1488,1598,357,409,601,851,Vermont,Addison
Bennington,5760,2759,3001,766,776,1086,1514,Vermont,Bennington
St. Johnsbury,4665,2379,2286,565,561,1044,1404,Vermont,Caledonia
Burlington ,14387,7127,7260,2349,2427,3019,3449,Vermont,Chittenden
Colchester ,3911,1984,1927,653,592,667,904,Vermont,Chittenden
St. Albans ,7014,3651,3363,1022,913,1599,1885,Vermont,Franklin
Brandon ,3571,1733,1838,469,518,684,947,Vermont,Rutland
Castleton ,3243,1629,1614,512,478,547,816,Vermont,Rutland
Rutland ,9834,4945,4889,1385,1441,2084,2605,Vermont,Rutland
Montpelier ,3023,1433,1590,367,371,586,854,Vermont,Washington
Northfield,3410,1668,1742,512,481,553,882,Vermont,Washington
Brattleboro ,4933,2367,2566,494,489,1056,1532,Vermont,Windham
Atlantic ,4111,2083,2028,771,659,728,900,Virginia,Accomack
Metompkin ,4450,2159,2291,749,728,740,961,Virginia,Accomack
Sam Miller ,4959,2419,2540,854,825,787,1054,Virginia,Albemarle
Alexandria ,13570,6234,7336,1765,2033,2537,3233,Virginia,Alexandria
Giles ,3597,1774,1823,603,614,620,807,Virginia,Amelia
Leigh ,3454,1673,1781,556,582,515,745,Virginia,Amelia
Amherst ,3632,1752,1880,594,621,564,764,Virginia,Amherst
Elon ,3193,1594,1599,507,476,536,725,Virginia,Amherst
Peddler ,4628,2302,2326,749,732,778,1010,Virginia,Amherst
Temperance ,3447,1717,1730,604,557,555,747,Virginia,Amherst
Clover Hill ,3840,1863,1997,657,599,557,822,Virginia,Appomattox
Chamblissburg ,3428,1687,1741,613,572,525,810,Virginia,Bedford
Lisbon ,3175,1565,1610,551,494,519,663,Virginia,Bedford
Otter ,4004,1941,2063,676,613,594,822,Virginia,Bedford
Staunton ,3251,1566,1685,562,500,482,674,Virginia,Bedford
Ansterdam ,3828,1818,2010,612,610,598,810,Virginia,Botetourt
Buchanan ,4000,1907,2093,651,644,632,855,Virginia,Botetourt
Fincastle ,3501,1719,1782,563,543,605,811,Virginia,Botetourt
Meherrin ,5019,2391,2628,849,902,757,995,Virginia,Brunswick
Red Oak ,3365,1660,1705,565,551,528,682,Virginia,Brunswick
Totaro ,5043,2455,2588,887,810,749,1022,Virginia,Brunswick
James River,3033,1510,1523,553,488,422,630,Virginia,Buckingham
Brookville ,4960,2385,2575,756,772,797,1163,Virginia,Campbell
Lynchburg,6825,3077,3748,820,1009,1264,1676,Virginia,Campbell
Bowling Green ,4765,2182,2583,794,847,710,903,Virginia,Caroline
Madison,3682,1725,1957,625,634,567,767,Virginia,Caroline
Port Royal ,3543,1715,1828,591,535,554,733,Virginia,Caroline
Reedy Church ,3138,1472,1666,528,499,433,638,Virginia,Caroline
Bacon ,3683,1764,1919,556,614,573,798,Virginia,Charlotte
Madison ,3222,1582,1640,575,575,491,702,Virginia,Charlotte
Roanoke ,4830,2334,2496,835,832,741,1020,Virginia,Charlotte
Petersburg ,18950,8496,10454,2375,2745,3498,4448,Virginia,Dinwiddie
Providence ,3136,1594,1542,473,478,587,787,Virginia,Fairfax
Opequan ,4414,2158,2256,780,640,735,979,Virginia,Frederick
Stonewall ,3388,1719,1669,530,469,620,840,Virginia,Frederick
Winchester ,4477,2037,2440,582,653,818,1051,Virginia,Frederick
Abingdon ,4506,2238,2268,743,721,829,1002,Virginia,Glouchester
Ware ,3013,1439,1574,476,496,490,657,Virginia,Glouchester
Byrd ,3216,1528,1688,506,561,499,684,Virginia,Goochland
Dover ,3667,1844,1823,604,599,579,829,Virginia,Goochland
Lickinghole ,3430,1655,1775,580,594,513,724,Virginia,Goochland
Elk Creek ,4116,1985,2131,727,727,640,787,Virginia,Grayson
Wilson Creek ,3231,1581,1650,595,553,465,594,Virginia,Grayson
Banister ,3731,1800,1931,655,617,545,753,Virginia,Halifax
Brick Creck ,5563,2782,2781,897,865,1036,1271,Virginia,Halifax
Hico ,3576,1698,1878,592,586,543,697,Virginia,Halifax
Mount Carmel ,4861,2344,2517,799,790,793,1003,Virginia,Halifax
Roanoke ,6182,3009,3173,1041,992,1015,1303,Virginia,Halifax
Staunton ,3915,1878,2037,656,639,627,821,Virginia,Halifax
Brookland ,3612,1818,1794,568,524,656,885,Virginia,Henrico
Fairfield ,4980,2519,2401,863,759,861,1184,Virginia,Henrico
Richmond ,51038,23637,27401,6532,7551,10155,12786,Virginia,Henrico
Tuckahoe ,3339,1640,1699,491,497,617,825,Virginia,Henrico
Varina ,3210,1737,1473,585,508,663,872,Virginia,Henrico
Leatherwood ,3673,1763,1910,655,608,562,668,Virginia,Henry
Martinsville ,3157,1544,1613,584,571,483,578,Virginia,Henry
Ridgeway ,3171,1539,1632,576,554,499,626,Virginia,Henry
Hardy ,3171,1581,1590,537,521,549,681,Virginia,Isle of Wight
Jonesville ,3369,1648,1721,603,569,529,655,Virginia,Lee
Rose Hill ,3023,1450,1573,543,568,478,576,Virginia,Lee
Locust Dale ,3484,1710,1774,614,579,535,686,Virginia,Madison
Boydton ,4708,2229,2479,746,825,681,1000,Virginia,Mecklenburg
Clarksville ,3700,1713,1987,584,603,521,766,Virginia,Mecklenburg
Auburn ,3171,1578,1593,572,529,524,655,Virginia,Montgomery
Blacksburg ,3565,1766,1799,627,590,577,740,Virginia,Montgomery
Christiansburg ,3316,1586,1730,546,565,541,672,Virginia,Montgomery
Holly Neck ,3275,1529,1746,504,544,454,664,Virginia,Nanesmond
Lovingston ,5511,2721,2790,911,846,885,1252,Virginia,Nelson
Massie's Mills,4546,2257,2289,762,716,702,957,Virginia,Nelson
Rockfish ,3841,1911,1930,685,576,588,833,Virginia,Nelson
Norfolk,19229,8774,10455,2362,2686,3989,4870,Virginia,Norfolk
Portsmouth,10492,4937,5555,1443,1513,2066,2490,Virginia,Norfolk
Western Branch,5100,2527,2573,748,758,845,1229,Virginia,Norfolk
